ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024,industry_group,media_score_10,awards_score_10,expertise_score_10,face_score_10,communication_score_10,index_equal_10,index_critic_10,roa_2025_w,stock_return_2025_w
ABIO,54.202300222951926,0.0,17.422552587681682,53.53755012585672,100.0,45.03248058729807,21.533289460887257,"ПАО ""Артген""",22,Научные исследования и разработки в области естественных и технических наук прочие,ABIO,,300.0,221667000.0,,2670000000.0,2990000000.0,568000000.0,831000000.0,0.08,0.032,103.26,83.28,0.0,-0.19,85.7,68.48,1.2,-0.19,0,0,0.212734082,0.277926421,0.08302135,,21.70534430935857,,Прочие,5.4202300222951925,0.0,1.7422552587681683,5.353755012585672,10.0,4.503248058729807,2.1533289460887257,0.032,-0.19
AGRO,59.25680215447781,0.0,58.86816572404165,64.52269105633006,100.0,56.52953178696991,35.707992217001596,РОС АГРО ПЛС,30,Деятельность холдинговых компаний,AGRO,30995.0,29800.0,170663000000.0,,508800000000.0,551200000000.0,161000000000.0,200200000000.0,0.071,0.034,1392.0,,0.0,,,,16.48,,0,0,0.316430818,0.363207547,0.33542171,,26.955320848972324,10.34158118013602,Деятельность холдинговых компаний,5.925680215447781,0.0,5.8868165724041654,6.452269105633006,10.0,5.6529531786969915,3.5707992217001596,0.034,
ALRS,61.95896760327661,0.0,47.28264267331856,55.892520437496245,100.0,53.02682614281829,31.552256358119017,"АК ""АЛРОСА"" (ПАО)",34,Добыча алмазов,ALRS,,,292982000000.0,279940000000.0,712292000000.0,726642000000.0,324992000000.0,312552000000.0,0.0121,0.0417,71.2,57.86,2.49,-0.15,56.05,41.38,0.0,-0.26,1,1,0.456262585,0.430132305,0.41132286,0.38525124,27.29175377664485,,Прочие,6.195896760327662,0.0,4.7282642673318565,5.5892520437496245,10.0,5.302682614281829,3.1552256358119015,0.0417,-0.26
AQUA,64.39687178635475,0.0,45.94682154678373,60.59673811710746,100.0,54.188086290049185,32.26835570040234,"ПАО ""Русская Аквакультура""",28,Рыбоводство морское,AQUA,1172.0,1000.0,17413759000.0,20058191000.0,58800000000.0,60300000000.0,14100000000.0,17100000000.0,0.175,0.035,868.5,607.0,40.0,-0.26,600.5,492.4,10.0,-0.16,0,0,0.239795918,0.28358209,0.29615236,0.332639983,24.797407691850992,7.066466970136958,Прочие,6.4396871786354755,0.0,4.594682154678373,6.059673811710747,10.0,5.418808629004919,3.226835570040234,0.035,-0.16
DATA,62.11695953386712,22.7670248696953,51.431343779923765,57.3473902934702,100.0,58.73254369539129,42.281293798315,"ПАО ""Группа Аренадата""",9,Разработка компьютерного программного обеспечения,DATA,632.0,836.0,73086000.0,90882000.0,4430000000.0,8960000000.0,77000000.0,73000000.0,0.44,0.298,,134.44,3.43,,135.22,78.44,6.43,-0.37,0,0,0.01738149,0.008147321,0.01649797,0.01014308,22.211665421003456,6.448889394146858,Разработка компьютерного программного обеспечения,6.2116959533867115,2.2767024869695303,5.143134377992377,5.73473902934702,10.0,5.873254369539129,4.2281293798315,0.298,-0.37
DELI,54.96371279948835,22.7670248696953,34.79396219677958,59.568541963270995,100.0,54.41864836584684,36.78791188605698,"ПАО ""Каршеринг Руссия""",10,Аренда и лизинг легковых автомобилей и легких автотранспортных средств,DELI,2538.0,2340.0,15316000000.0,13308000000.0,39900000000.0,36000000000.0,31400000000.0,31200000000.0,0.0,-0.104,,219.0,1.0,,213.35,109.2,0.0,-0.49,0,0,0.786967419,0.866666667,0.38385965,0.369666667,24.40964216084223,7.839131648274333,Прочие,5.496371279948835,2.2767024869695303,3.479396219677958,5.956854196327099,10.0,5.441864836584684,3.678791188605698,-0.104,-0.49
ETLN,61.319006345531506,0.0,63.707814240073745,58.40982957929796,100.0,56.68733003298064,36.477030762956474,ETALON GROUP PLC,38,Деятельность холдинговых компаний,ETLN,6330.0,7123.0,7259000000.0,8803000000.0,336400000000.0,380200000000.0,176600000000.0,222500000000.0,-0.006,-0.059,84.7,54.82,0.0,-0.35,54.24,38.8,0.0,-0.28,0,0,0.524970273,0.585218306,0.02157848,0.023153603,26.541566765045204,8.753055515138222,Деятельность холдинговых компаний,6.13190063455315,0.0,6.370781424007374,5.840982957929796,10.0,5.668733003298064,3.6477030762956475,-0.059,-0.28
EUTR,58.26562742658046,0.0,47.98943214143516,49.902794038649226,100.0,51.23157072133297,30.266764085877195,"ПАО ""ЕвроТранс""",28,Торговля розничная моторным топливом в специализированных магазинах,EUTR,1433.0,1756.0,25768551000.0,39618427000.0,103900000000.0,141100000000.0,48800000000.0,66800000000.0,0.053,0.034,260.0,119.0,27.49,-0.44,117.9,147.2,20.35,0.42,0,0,0.469682387,0.473423104,0.248013,0.280782615,25.366694735051592,7.267525427828172,Прочие,5.826562742658046,0.0,4.798943214143516,4.990279403864923,10.0,5.1231570721332975,3.0266764085877194,0.034,0.42
FIVE,60.79615827635892,52.8633946819448,45.37462288914955,61.85309901321753,100.0,64.17745497213416,53.35040381189826,Икс 5 Ритейл Груп Н.В.,19,Деятельность головных офисов,FIVE,417058.0,411000.0,421511000000.0,513535000000.0,1843000000000.0,1925000000000.0,288700000000.0,407000000000.0,0.06,0.049,2222.5,,648.0,-0.71,,,613.0,,0,0,0.156646772,0.211428571,0.22870917,0.266771429,28.242415794616235,12.940980579838016,Деятельность головных офисов,6.079615827635893,5.2863394681944795,4.537462288914955,6.185309901321753,10.0,6.417745497213415,5.335040381189826,0.049,
GAZP,72.48351555689356,0.0,46.300405202789065,57.05663161478272,100.0,55.16811047489307,33.104118680972945,"ПАО ""ГАЗПРОМ""",33,Торговля оптовая природным (естественным) газом,GAZP,29509.0,,14557200000000.0,14718900000000.0,26162800000000.0,25736300000000.0,9832470000000.0,9304110000000.0,-0.041,0.0004,161.44,133.12,0.0,-0.18,128.66,125.36,0.0,-0.03,1,1,0.375818143,0.361516421,0.55640786,0.571911641,30.895359670429,10.292450580544786,Прочие,7.248351555689356,0.0,4.630040520278906,5.705663161478272,10.0,5.516811047489307,3.3104118680972947,0.0004,-0.03
